Dataset_name,B1,B2,B4,B5,B7,B8,Cluster_count
Admissions,0.059,0.071,0.071,0.071,0.066,0.071,1
Admissions,0.059,0.072,0.064,0.073,0.066,0.073,2
Admissions,0.059,0.077,0.068,0.080,0.065,0.079,3
Admissions,0.059,0.079,0.079,0.077,0.068,0.078,4
Admissions,0.059,0.075,0.076,0.077,0.071,0.077,5
Admissions,0.059,0.085,0.073,0.082,0.066,0.081,6
Amazon,189.611,166.873,166.962,166.873,189.723,166.873,1
Amazon,189.611,163.930,172.224,163.930,193.768,163.930,2
Amazon,189.611,170.202,176.812,164.828,193.893,164.828,3
Amazon,189.611,170.959,177.717,161.275,197.925,161.275,4
Amazon,189.611,170.529,181.295,166.954,198.271,167.127,5
Amazon,189.611,172.816,180.672,167.715,197.910,168.438,6
Boston,4.646,3.118,3.096,3.118,3.558,3.118,1
Boston,4.646,3.376,3.595,3.100,3.966,3.100,2
Boston,4.646,3.449,3.814,3.151,3.950,3.223,3
Boston,4.646,3.027,4.248,3.318,4.108,3.410,4
Boston,4.646,3.502,4.245,3.734,4.077,3.599,5
Boston,4.646,3.847,4.408,3.805,4.347,3.725,6
Crime,422.420,344.746,346.198,344.746,624.472,344.746,1
Crime,422.420,346.443,339.212,339.637,641.487,338.785,2
Crime,422.420,353.042,355.134,341.227,642.066,343.610,3
Crime,422.420,348.585,384.741,353.664,655.201,355.035,4
Crime,422.420,366.065,386.607,359.855,650.440,362.371,5
Crime,422.420,357.814,382.818,365.168,655.613,373.001,6
Diabetes,57.406,67.455,67.003,67.455,62.810,67.455,1
Diabetes,57.406,66.887,68.925,65.913,64.806,64.500,2
Diabetes,57.406,68.243,65.480,66.712,63.928,64.441,3
Diabetes,57.406,67.582,66.964,66.849,59.263,65.832,4
Diabetes,57.406,73.180,69.331,66.870,58.937,68.922,5
Diabetes,57.406,73.922,69.048,68.079,63.820,68.061,6
Fish_weights,116.823,52.006,50.513,52.006,72.918,52.006,1
Fish_weights,116.823,51.157,59.715,48.291,100.458,48.291,2
Fish_weights,116.823,48.452,87.298,48.732,120.941,48.825,3
Fish_weights,116.823,48.409,82.652,48.375,109.811,48.446,4
Fish_weights,116.823,69.022,87.859,71.861,112.267,71.495,5
Fish_weights,116.823,68.761,103.294,68.531,134.339,68.531,6
Insurance,6106.475,4943.969,4934.656,4943.969,5432.387,4943.969,1
Insurance,6106.475,5038.248,5350.054,5038.248,5633.094,5038.248,2
Insurance,6106.475,5388.164,5385.569,5344.450,5552.364,5249.252,3
Insurance,6106.475,5411.235,5378.978,5383.822,5660.344,5284.886,4
Insurance,6106.475,5833.810,5382.301,5295.755,5914.941,5397.967,5
Insurance,6106.475,5513.360,5623.704,5516.235,6049.240,5542.935,6
Nhanes,12.372,12.280,12.281,12.280,12.276,12.280,1
Nhanes,12.372,12.501,12.409,12.433,12.401,12.417,2
Nhanes,12.372,12.495,12.520,12.592,12.469,12.588,3
Nhanes,12.372,12.602,12.537,12.624,12.649,12.655,4
Nhanes,12.372,12.705,12.726,12.791,12.697,12.687,5
Nhanes,12.372,12.778,12.861,12.896,12.763,12.740,6
NYE_Airbnb,176.506,160.564,161.474,160.564,178.823,160.564,1
NYE_Airbnb,176.506,159.595,164.213,153.086,176.866,153.086,2
NYE_Airbnb,176.506,197.667,165.401,151.702,173.173,151.702,3
NYE_Airbnb,176.506,156.852,163.626,154.707,173.333,153.601,4
NYE_Airbnb,176.506,159.897,176.420,157.628,177.507,158.278,5
NYE_Airbnb,176.506,168.795,183.972,202.324,174.905,207.534,6
Student_grades,2.523,2.140,2.147,2.140,2.711,2.140,1
Student_grades,2.523,2.487,2.119,2.168,2.805,2.168,2
Student_grades,2.523,2.214,2.222,2.247,2.440,2.247,3
Student_grades,2.523,2.516,3.276,2.354,2.776,2.090,4
Student_grades,2.523,2.499,3.430,2.005,2.901,1.986,5
Student_grades,2.523,2.534,3.441,2.006,2.895,2.006,6
Liver_Disorder,2.976,3.317,3.289,3.317,3.282,3.317,1
Liver_Disorder,2.976,3.288,3.238,3.233,3.202,3.281,2
Liver_Disorder,2.976,3.360,3.487,3.486,3.367,3.403,3
Liver_Disorder,2.976,3.105,3.339,3.534,3.609,3.531,4
Liver_Disorder,2.976,3.487,3.507,3.676,3.672,3.536,5
Liver_Disorder,2.976,3.486,3.259,3.601,3.516,3.587,6
Satellite,1.228,0.728,0.729,0.728,0.809,0.728,1
Satellite,1.228,0.754,0.787,0.708,0.862,0.715,2
Satellite,1.228,0.747,0.799,0.737,0.870,0.749,3
Satellite,1.228,0.728,0.805,0.717,0.888,0.733,4
Satellite,1.228,0.737,0.838,0.731,0.878,0.730,5
Satellite,1.228,0.698,0.885,0.746,0.877,0.721,6
Wine Quality,0.737,0.645,0.647,0.645,0.665,0.645,1
Wine Quality,0.737,0.642,0.665,0.643,0.682,0.640,2
Wine Quality,0.737,0.634,0.683,0.645,0.693,0.641,3
Wine Quality,0.737,0.638,0.688,0.638,0.716,0.642,4
Wine Quality,0.737,0.637,0.691,0.645,0.723,0.633,5
Wine Quality,0.737,0.642,0.697,0.636,0.726,0.627,6
Banking Data,0.084,0.083,0.083,0.083,0.086,0.083,1
Banking Data,0.084,0.083,0.086,0.083,0.088,0.082,2
Banking Data,0.084,0.087,0.087,0.085,0.088,0.084,3
Banking Data,0.084,0.085,0.087,0.085,0.089,0.085,4
Banking Data,0.084,0.086,0.090,0.087,0.090,0.085,5
Banking Data,0.084,0.085,0.091,0.085,0.092,0.086,6
Balloon,0.087,0.074,0.074,0.074,0.074,0.074,1
Balloon,0.087,0.074,0.078,0.074,0.078,0.074,2
Balloon,0.087,0.075,0.123,0.075,0.123,0.075,3
Balloon,0.087,0.075,0.126,0.075,0.128,0.075,4
Balloon,0.087,0.075,0.137,0.075,0.137,0.075,5
Balloon,0.087,0.075,0.132,0.075,0.132,0.075,6
Quake,0.192,0.196,0.194,0.196,0.192,0.196,1
Quake,0.192,0.196,0.196,0.195,0.193,0.195,2
Quake,0.192,0.198,0.204,0.196,0.202,0.196,3
Quake,0.192,0.201,0.202,0.199,0.198,0.199,4
Quake,0.192,0.204,0.215,0.204,0.205,0.204,5
Quake,0.192,0.202,0.219,0.202,0.208,0.202,6
Auto Price,2355.133,1129.769,1115.416,1129.769,1464.995,1129.769,1
Auto Price,2355.133,1190.579,2002.525,1053.687,2249.064,1053.687,2
Auto Price,2355.133,1280.878,2073.800,1179.682,2881.703,1179.682,3
Auto Price,2355.133,1296.905,3644.246,1845.680,4004.766,1845.680,4
Auto Price,2355.133,1482.201,3696.574,1836.818,4094.728,1254.924,5
Auto Price,2355.133,1530.185,3474.782,2218.366,3876.963,1537.355,6
Friedman,2.619,1.038,1.039,1.038,1.804,1.038,1
Friedman,2.619,1.056,1.057,1.052,1.809,1.049,2
Friedman,2.619,1.069,1.074,1.053,1.818,1.049,3
Friedman,2.619,1.080,1.090,1.057,1.829,1.051,4
Friedman,2.619,1.086,1.100,1.052,1.835,1.053,5
Friedman,2.619,1.102,1.117,1.063,1.842,1.063,6
Sales,1.051,0.941,0.949,0.941,0.999,0.941,1
Sales,1.051,0.893,1.069,0.915,1.099,0.915,2
