Dataset_name,C1-Linear-Linear,C2-Linear-XGB,C3-XGB-Linear,C4-XGB-XGB
Admissions,0.058,0.073,0.058,0.078
Admissions,0.062,0.080,0.059,0.077
Admissions,0.059,0.077,0.060,0.080
Admissions,0.060,0.077,0.064,0.081
Admissions,0.068,0.082,0.066,0.082
Amazon,187.483,163.930,187.483,163.930
Amazon,187.621,164.828,183.257,166.511
Amazon,186.813,161.275,181.423,166.379
Amazon,187.939,166.954,181.792,166.083
Amazon,187.381,167.715,180.738,166.700
Boston,3.843,3.100,8.767,5.186
Boston,3.412,3.151,4.879,3.806
Boston,3.415,3.318,11.474,4.070
Boston,3.330,3.734,15.022,10.482
Boston,3.381,3.805,13.875,13.358
Crime,585.029,339.637,431.998,353.534
Crime,559.703,341.227,2207.387,365.764
Crime,605.584,353.664,2224.583,370.765
Crime,629.226,359.855,2649.421,374.633
Crime,726.168,365.168,1160.678,372.055
Diabetes,60.006,65.913,59.435,65.303
Diabetes,57.791,66.712,64.134,66.904
Diabetes,59.684,66.849,64.419,64.601
Diabetes,61.107,66.870,68.233,69.764
Diabetes,63.772,68.079,73.744,68.749
Fish_weights,60.585,48.291,60.524,48.302
Fish_weights,70.577,48.732,55.051,62.556
Fish_weights,46.311,48.375,222.385,227.103
Fish_weights,56.497,71.861,227.791,233.352
Fish_weights,59.509,68.531,148.744,157.315
Insurance,5193.215,5038.248,5193.215,5038.248
Insurance,5108.054,5344.450,5104.192,5317.695
Insurance,5080.706,5383.822,5073.476,5289.921
Insurance,5094.941,5295.755,5118.473,5365.709
Insurance,5119.056,5516.235,5141.354,5508.236
Nhanes,12.256,12.433,12.294,12.528
Nhanes,12.266,12.592,12.267,12.485
Nhanes,12.246,12.624,12.210,12.609
Nhanes,12.314,12.791,12.243,12.750
Nhanes,12.307,12.896,12.278,12.789
NYE_Airbnb,172.450,153.086,172.323,152.155
NYE_Airbnb,172.318,151.702,170.327,155.933
NYE_Airbnb,172.538,154.707,170.102,227.334
NYE_Airbnb,172.536,157.628,170.366,226.065
NYE_Airbnb,172.515,202.324,169.530,227.403
Student_grades,2.598,2.168,2.686,2.238
Student_grades,2.841,2.247,2.841,2.247
Student_grades,2.680,2.354,2.805,2.175
Student_grades,4.623,2.005,2.892,2.184
Student_grades,4.655,2.006,4.535,2.114
Liver_Disorder,3.203,3.233,3.235,3.060
Liver_Disorder,3.257,3.486,3.764,3.248
Liver_Disorder,4.955,3.534,3.820,3.437
Liver_Disorder,4.964,3.676,3.708,3.306
Liver_Disorder,4.998,3.601,4.046,3.873
Satellite,1.077,0.708,1.081,0.768
Satellite,1.018,0.737,1.043,0.761
Satellite,0.973,0.717,1.022,0.751
Satellite,0.938,0.731,0.973,0.763
Satellite,0.912,0.746,0.954,0.761
Wine Quality,0.725,0.643,0.729,0.630
Wine Quality,0.719,0.645,0.729,0.632
Wine Quality,0.720,0.638,0.722,0.634
Wine Quality,0.720,0.645,0.714,0.641
Wine Quality,0.717,0.636,0.716,0.639
Banking Data,0.082,0.083,0.082,0.084
Banking Data,0.083,0.085,0.083,0.085
Banking Data,0.082,0.085,0.083,0.084
Banking Data,0.083,0.087,0.084,0.085
Banking Data,0.083,0.085,0.083,0.085
Balloon,0.073,0.074,0.075,0.075
Balloon,0.073,0.075,0.073,0.075
Balloon,0.074,0.075,0.074,0.075
Balloon,0.072,0.075,0.072,0.075
Balloon,0.073,0.075,0.073,0.075
Quake,0.192,0.195,0.190,0.196
Quake,0.192,0.196,0.192,0.196
Quake,0.192,0.199,0.192,0.204
Quake,0.192,0.204,3.577,0.204
Quake,0.192,0.202,3.577,0.205
Auto Price,2396.768,1053.687,1132005524100318.750,1117.791
Auto Price,4131.370,1179.682,36230.300,1278.094
Auto Price,5679.081,1845.680,46986.245,1385.030
Auto Price,8736.091,1836.818,37170.903,1377.601
Auto Price,11554.169,2218.366,43301.899,1782.620
Friedman,2.620,1.052,2.620,1.051
Friedman,2.515,1.053,2.462,1.054
Friedman,2.430,1.057,2.388,1.064
Friedman,2.347,1.052,2.283,1.060
Friedman,2.173,1.063,2.203,1.061
Sales,1.034,0.915,1.035,0.911
Sales,1.023,0.905,1.030,0.918
Sales,0.955,0.917,1.563,1.494
Sales,0.948,0.932,0.964,0.960
Sales,0.940,0.933,1.087,1.045
Telecom,25.188,6.213,22.470,6.100
Telecom,18.219,5.409,16.197,5.337
Telecom,17.352,5.256,16.157,5.203
Telecom,17.345,5.178,14.565,4.918
Telecom,16.650,5.261,13.263,4.652
CPU Activity,5.383,2.650,3.202,2.508
CPU Activity,3.187,2.612,3.119,2.640
CPU Activity,3.157,2.625,3.052,2.635
CPU Activity,3.095,2.664,3.070,2.633
CPU Activity,3.095,2.655,3.089,2.676
Music Origin,52.058,30.521,43.707,25.993
Music Origin,47.970,32.082,45.882,26.661
Music Origin,48.735,37.132,46.126,26.458
Music Origin,1375.582,37.182,42.887,26.162
Music Origin,61.203,38.314,57.935,28.268
Employee Accept,1.602,1.670,1.618,1.667
Employee Accept,1.604,1.672,1.618,1.668
Employee Accept,1.631,1.671,1.622,1.671
Employee Accept,1.660,1.668,1.631,1.672
Employee Accept,1.660,1.676,1.659,1.668
Soil Data,2.348,0.057,2.391,0.056
Soil Data,0.188,0.039,0.192,0.151
Soil Data,0.188,0.039,0.192,0.039
Soil Data,0.155,0.039,0.189,0.039
Soil Data,0.156,0.039,0.158,0.044
