Dataset_name,B1,B2,B4,B5,B7,B8,Cluster_count
Admissions,0.854,0.751,1.032,0.879,0.784,0.875,1
Admissions,0.995,1.763,2.084,1.706,1.460,1.821,2
Admissions,0.806,2.856,2.319,2.850,2.135,2.585,3
Admissions,1.109,3.322,3.528,3.415,2.478,3.094,4
Admissions,0.778,3.410,3.569,3.899,3.306,3.984,5
Amazon,5.497,4.792,4.420,5.479,3.384,4.953,1
Amazon,5.806,6.660,4.219,6.498,3.082,6.345,2
Amazon,4.756,5.690,3.353,6.727,2.963,7.384,3
Amazon,4.845,7.462,4.462,8.051,3.483,7.027,4
Amazon,4.887,6.585,5.859,5.698,5.043,7.934,5
Boston,2.160,1.855,1.435,2.040,1.197,1.997,1
Boston,2.492,4.574,2.141,2.199,1.866,2.126,2
Boston,2.166,5.365,2.097,4.727,1.902,3.097,3
Boston,1.919,5.494,2.794,3.486,2.563,4.519,4
Boston,1.894,8.569,3.291,4.237,3.488,4.162,5
Crime,6.394,5.981,1.435,6.222,1.178,6.208,1
Crime,6.466,2.467,2.367,2.540,1.672,3.872,2
Crime,6.459,3.434,2.756,4.261,2.156,3.402,3
Crime,6.544,4.024,3.658,5.000,8.496,5.093,4
Crime,6.379,5.076,4.105,6.430,3.469,6.142,5
Diabetes,0.874,0.753,0.935,0.939,0.815,0.940,1
Diabetes,0.852,1.428,1.810,1.665,1.415,1.698,2
Diabetes,0.856,2.161,2.577,2.291,1.921,2.331,3
Diabetes,0.840,7.429,3.938,3.233,3.356,3.197,4
Diabetes,0.844,5.620,4.097,3.548,3.467,3.500,5
Fish_weights,0.817,0.728,0.903,0.941,0.839,0.946,1
Fish_weights,0.786,1.579,2.095,1.650,1.577,1.814,2
Fish_weights,0.767,2.395,3.580,3.910,4.258,3.988,3
Fish_weights,0.775,2.957,3.857,3.653,3.388,3.994,4
Fish_weights,0.760,4.035,5.695,3.551,4.914,4.376,5
Insurance,0.743,0.692,0.874,0.871,1.286,0.899,1
Insurance,0.755,1.319,1.579,1.470,2.149,1.489,2
Insurance,0.785,1.942,2.238,2.205,2.370,2.142,3
Insurance,0.744,2.502,2.744,2.843,3.202,2.807,4
Insurance,0.744,3.108,3.787,3.435,3.445,3.483,5
Nhanes,1.337,1.327,1.426,1.610,1.233,2.186,1
Nhanes,1.380,2.002,2.042,2.401,1.952,2.231,2
Nhanes,1.458,3.043,3.121,2.756,2.339,2.690,3
Nhanes,1.297,3.475,3.548,3.834,3.021,3.874,4
Nhanes,1.314,4.350,4.515,4.798,3.637,4.317,5
